Rent,Bathrooms,YearBuilt,SqFt,AC,Parking,Rooms
675,2,1919,7.5,0,0,4
635,1,1920,5,1,0,3
575,1,1940,7.5,0,0,4
600,1,1950,10,0,0,3
650,1,1920,5,0,0,3
785,1,1920,6.5,0,0,3
575,1,1940,6,0,0,4
750,1,1950,5.29,1,0,4
600,1,1919,6.75,1,0,4
1,1,1920,1,1,0,2
450,1,1919,2,1,0,3
1000,1,1960,6.5,0,1,4
425,1,1920,7,0,0,4
425,1,1920,7,0,0,4
400,1,1919,7.5,0,0,4
495,1,1919,6.2,1,0,3
605,1,1920,7.5,0,0,3
325,1,1975,8,0,0,4
495,1,1920,1,1,0,4
300,1,1960,40,0,0,5
1285,2,1975,10,1,0,4
938,1,1950,7.45,1,0,3
695,1,1940,10,0,0,5
450,1,1960,16,1,1,3
1000,1,1930,0.99,0,1,6
500,1,1930,14,0,0,6
500,1,1940,8,0,0,3
435,1,1920,3.2,1,0,2
580,1,1960,5,1,0,3
500,1,1950,7,0,1,3
650,1,1960,33,1,1,3
650,1,1970,10,0,1,4
700,1,1950,8,0,1,4
650,1,1960,9,0,1,4
875,1,1960,5.5,1,1,4
550,1,1940,6.75,0,0,3
450,1,1960,7,1,1,3
270,1,1919,5,0,0,5
604,1,1940,5,1,1,4
500,1,1960,8,1,0,4
670,1,1970,6.5,0,1,3
270,1,1960,1.8,1,0,2
525,1,1950,4.5,1,1,3
700,1,1970,7.5,1,1,4
575,1,1975,5,0,1,3
550,1,1920,10.4,0,1,4
650,1,1950,3,1,1,4
835,1,1970,9,1,0,5
1150,1,1950,10,1,1,4
270,1,1919,7.5,1,1,4
1325,1,1975,8,1,1,3
790,1,1970,10,1,1,4
1020,2,1940,9,0,1,5
800,1,1960,86.27,0,0,5
800,1,1960,86.27,0,0,5
1038,2,1970,10,1,1,5
665,1,1950,8,0,0,4
855,1,1950,9.4,1,0,3
670,1,1975,7.5,0,0,3
620,1,1975,6.5,0,0,4
510,1,1970,9,0,0,3
875,1,1920,10,0,0,4
600,1,1970,0.99,0,0,4
550,1,1975,8.5,0,0,3
499,1,1960,7.04,1,0,4
106,1,1960,8,0,0,4
600,1,1980,5,1,1,4
1100,2,1994,13,1,1,5
595,1,1985,6.5,0,1,3
885,1,1985,8.48,1,0,3
885,1,1985,8.48,1,0,3
900,1,1998,8.5,1,0,3
525,1,1980,4.75,0,1,3
560,1,1985,5,0,0,3
530,1,1980,4.5,1,1,3
775,2,1985,10,1,1,4
600,1,1985,5,1,1,4
835,1,1975,5,0,1,2
750,1,1985,9.5,1,1,4
600,2,1985,10,1,1,5
720,2,1991,8,1,1,2
725,2,1985,8,1,1,4
950,1,1993,8,1,0,3
467,1,1990,10.44,1,0,3
600,2,1985,16,1,1,5
500,1,1975,0.99,1,0,5
795,1,1960,2,1,1,1
334,2,1950,8.5,1,0,4
450,1,1919,4,1,0,3
385,1,1919,2,1,0,2
172,1,1970,7.5,1,1,3
595,1,1940,8,1,0,3
595,1,1940,8,1,0,3
1045,2,1975,14,1,0,5
722,2,1975,9,0,0,4
572,1,1970,6.2,0,1,3
425,1,1920,4,1,0,2
700,1,1930,9.8,1,0,5
400,1,1930,7,1,0,4
375,1,1975,4,1,1,2
495,1,1930,8.9,1,1,2
529,1,1993,5.75,1,0,3
551,1,1960,7.5,0,1,2
572,1,1940,7,0,0,4
425,2,1970,7,1,0,4
495,1,1930,6,1,0,3
465,1,1960,9,1,0,3
650,1,1975,5.5,1,1,2
600,1,1930,6,0,1,4
600,1,1930,6,0,1,4
600,1,1950,6,0,1,4
613,1,1970,5,0,1,3
580,1,1960,3.5,1,0,3
450,1,1950,6,0,0,3
450,1,1930,3.5,0,0,2
626,1,1970,7,0,1,3
438,1,1960,6,1,0,2
675,1,1970,7.27,1,1,3
438,1,1950,3,1,1,3
550,1,1920,5,1,1,4
445,1,1960,5,0,0,2
715,1,1975,9,1,1,3
764,1,1970,10,1,1,3
675,1,1975,6,1,1,3
650,1,1919,7.8,1,0,4
570,1,1950,2.4,0,1,2
1007,1,1975,8,1,1,4
580,1,1960,8.9,0,1,3
824,1,1975,7,1,1,3
550,2,1940,12.5,0,1,3
650,1,1960,6.5,1,0,4
650,1,1960,6.5,1,0,4
649,1,1975,7,0,1,5
650,1,1995,7,1,0,3
750,1,1960,7.5,0,1,5
334,1,1970,9,1,0,4
405,1,1930,4,1,0,3
500,1,1950,3,0,0,4
287,1,1940,1,0,0,4
400,1,1919,3,0,0,3
350,1,1919,1.5,1,0,2
840,1,1920,7,0,0,3
595,1,1940,10,0,0,5
630,1,1920,6,1,0,2
800,1,1920,12,0,0,5
700,1,1950,6,1,0,4
390,1,1920,3.7,1,0,3
400,1,1985,7.5,1,1,2
525,1,1920,6.5,1,1,3
500,1,1920,6.4,1,0,3
900,2,1970,9,0,1,4
500,2,1975,14,1,1,4
550,1,1920,8,1,1,3
724,1,1940,6.4,1,1,3
700,1,1930,5,0,0,3
705,1,1930,8,1,1,5
430,0,1920,4.1,1,0,1
575,1,1950,3,1,0,4
575,1,1950,37.6,1,0,5
1250,2,1950,15.5,1,1,5
450,1,1960,6,0,0,3
400,1,1920,15,1,0,6
385,1,1960,9,0,0,3
350,1,1950,10,1,0,4
350,1,1950,10,1,0,4
475,1,1950,0.99,1,0,3
435,1,1960,6,0,0,2
715,1,1960,6,1,1,4
675,1,1960,5,0,1,4
500,1,1975,7,1,0,4
550,1,1919,6.5,1,0,5
540,1,1950,7,0,0,3
700,1,1950,6.5,0,0,3
525,1,1930,12.5,0,0,6
460,1,1960,0.99,0,1,3
475,1,1950,8,0,1,3
800,2,1960,10,0,1,4
775,1,1960,5.75,1,1,3
450,1,1950,6.5,1,1,4
850,1,1930,7,1,1,4
700,1,1940,9,0,1,4
550,1,1960,6.75,0,1,3
800,1,1950,5.56,1,1,4
635,1,1975,4.5,1,1,3
500,1,1940,8.5,0,0,5
700,1,1950,7.5,0,1,3
550,1,1920,7,0,1,4
625,1,1950,11,0,1,4
765,2,1970,10,0,1,5
850,1,1930,2,0,0,5
850,1,1930,2,0,0,5
850,1,1930,2,0,0,5
800,2,1960,6,0,1,4
645,1,1960,8,1,1,4
885,1,1920,10,1,1,4
